ubicacion,key,precio,m2,rooms,bathroom,alcaldia,auction,page,property,operation
"Galveston 13, Napoles, Ciudad De M...","[99, 97, 115, 97, 32, 101, 110, 32, 114, 101, 109, 97, 116, 101, 32, 110, 225, 112, 111, 108, 101, 115, 32, 98, 101, 110, 105, 116, 111, 32, 106, 117, 225, 114, 101, 122, 103, 97, 108, 118, 101, 115, 116, 111, 110, 32, 32, 110, 225, 112, 111, 108, 101, 115, 32, 99, 105, 117, 100, 97, 100, 32, 100, 101, 32, 109]",755000,3,216,0,BENITO JUAREZ,True,MC,Departamentos,Venta
"Galveston 13, Napoles, Ciudad De M...","[99, 97, 115, 97, 32, 101, 110, 32, 114, 101, 109, 97, 116, 101, 32, 110, 225, 112, 111, 108, 101, 115, 32, 98, 101, 110, 105, 116, 111, 32, 106, 117, 225, 114, 101, 122, 103, 97, 108, 118, 101, 115, 116, 111, 110, 32, 32, 110, 225, 112, 111, 108, 101, 115, 32, 99, 105, 117, 100, 97, 100, 32, 100, 101, 32, 109]",755000,3,216,0,BENITO JUAREZ,True,MC,Departamentos,Venta
"Galveston 13, Napoles, Ciudad De M...","[99, 97, 115, 97, 32, 101, 110, 32, 114, 101, 109, 97, 116, 101, 32, 110, 225, 112, 111, 108, 101, 115, 32, 98, 101, 110, 105, 116, 111, 32, 106, 117, 225, 114, 101, 122, 103, 97, 108, 118, 101, 115, 116, 111, 110, 32, 32, 110, 225, 112, 111, 108, 101, 115, 32, 99, 105, 117, 100, 97, 100, 32, 100, 101, 32, 109]",755000,3,216,0,BENITO JUAREZ,True,MC,Departamentos,Venta
"Galveston 13, Napoles, Ciudad De M...","[99, 97, 115, 97, 32, 101, 110, 32, 114, 101, 109, 97, 116, 101, 32, 110, 225, 112, 111, 108, 101, 115, 32, 98, 101, 110, 105, 116, 111, 32, 106, 117, 225, 114, 101, 122, 103, 97, 108, 118, 101, 115, 116, 111, 110, 32, 32, 110, 225, 112, 111, 108, 101, 115, 32, 99, 105, 117, 100, 97, 100, 32, 100, 101, 32, 109]",755000,3,216,0,BENITO JUAREZ,True,MC,Departamentos,Venta
"Rafael Martinez 315, San Simon, Ci...","[99, 97, 115, 97, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 99, 97, 108, 108, 101, 32, 114, 97, 102, 97, 101, 108, 32, 109, 97, 114, 116, 105, 110, 101, 122, 32, 114, 105, 112, 32, 114, 105, 112, 32, 110, 117, 109, 101, 114, 111, 32, 32, 99, 111, 108, 111, 110, 105, 97, 32, 118, 101, 114, 116, 105, 122, 32, 110, 97, 114, 118, 97, 114, 116, 101, 32, 97, 108, 99, 97, 108, 100, 105, 97, 32, 98, 101, 110, 105, 116, 111, 32, 106, 117, 97, 114, 101, 122, 32, 99, 112, 32, 32, 109, 108, 99, 105, 114, 97, 102, 97, 101, 108, 32, 109, 97, 114, 116, 237, 110, 101, 122, 32, 32, 115, 97, 110, 32, 115, 105, 109, 243, 110, 32, 99, 105]",800000,4,230,0,BENITO JUAREZ,False,MC,Departamentos,Venta
"Rafael Martinez 315, San Simon, Ci...","[99, 97, 115, 97, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 99, 97, 108, 108, 101, 32, 114, 97, 102, 97, 101, 108, 32, 109, 97, 114, 116, 105, 110, 101, 122, 32, 114, 105, 112, 32, 114, 105, 112, 32, 110, 117, 109, 101, 114, 111, 32, 32, 99, 111, 108, 111, 110, 105, 97, 32, 118, 101, 114, 116, 105, 122, 32, 110, 97, 114, 118, 97, 114, 116, 101, 32, 97, 108, 99, 97, 108, 100, 105, 97, 32, 98, 101, 110, 105, 116, 111, 32, 106, 117, 97, 114, 101, 122, 32, 99, 112, 32, 32, 109, 108, 99, 105, 114, 97, 102, 97, 101, 108, 32, 109, 97, 114, 116, 237, 110, 101, 122, 32, 32, 115, 97, 110, 32, 115, 105, 109, 243, 110, 32, 99, 105]",800000,4,230,0,BENITO JUAREZ,False,MC,Departamentos,Venta
"Rafael Martinez 315, San Simon, Ci...","[99, 97, 115, 97, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 99, 97, 108, 108, 101, 32, 114, 97, 102, 97, 101, 108, 32, 109, 97, 114, 116, 105, 110, 101, 122, 32, 114, 105, 112, 32, 114, 105, 112, 32, 110, 117, 109, 101, 114, 111, 32, 32, 99, 111, 108, 111, 110, 105, 97, 32, 118, 101, 114, 116, 105, 122, 32, 110, 97, 114, 118, 97, 114, 116, 101, 32, 97, 108, 99, 97, 108, 100, 105, 97, 32, 98, 101, 110, 105, 116, 111, 32, 106, 117, 97, 114, 101, 122, 32, 99, 112, 32, 32, 109, 108, 99, 105, 114, 97, 102, 97, 101, 108, 32, 109, 97, 114, 116, 237, 110, 101, 122, 32, 32, 115, 97, 110, 32, 115, 105, 109, 243, 110, 32, 99, 105]",800000,4,230,0,BENITO JUAREZ,False,MC,Departamentos,Venta
"Rafael Martinez 315, San Simon, Ci...","[99, 97, 115, 97, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 99, 97, 108, 108, 101, 32, 114, 97, 102, 97, 101, 108, 32, 109, 97, 114, 116, 105, 110, 101, 122, 32, 114, 105, 112, 32, 114, 105, 112, 32, 110, 117, 109, 101, 114, 111, 32, 32, 99, 111, 108, 111, 110, 105, 97, 32, 118, 101, 114, 116, 105, 122, 32, 110, 97, 114, 118, 97, 114, 116, 101, 32, 97, 108, 99, 97, 108, 100, 105, 97, 32, 98, 101, 110, 105, 116, 111, 32, 106, 117, 97, 114, 101, 122, 32, 99, 112, 32, 32, 109, 108, 99, 105, 114, 97, 102, 97, 101, 108, 32, 109, 97, 114, 116, 237, 110, 101, 122, 32, 32, 115, 97, 110, 32, 115, 105, 109, 243, 110, 32, 99, 105]",800000,4,230,0,BENITO JUAREZ,False,MC,Departamentos,Venta
"Nicolas San Juan, Del Valle Centro...","[99, 97, 115, 97, 32, 101, 110, 32, 99, 111, 110, 100, 111, 109, 105, 110, 105, 111, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 101, 110, 32, 100, 101, 108, 32, 118, 97, 108, 108, 101, 110, 105, 99, 111, 108, 97, 115, 32, 115, 97, 110, 32, 106, 117, 97, 110, 32, 100, 101, 108, 32, 118, 97, 108, 108, 101, 32, 99, 101, 110, 116, 114, 111]",9500000,3,222,0,BENITO JUAREZ,False,MC,Departamentos,Venta
"Nicolas San Juan, Del Valle Centro...","[99, 97, 115, 97, 32, 101, 110, 32, 99, 111, 110, 100, 111, 109, 105, 110, 105, 111, 32, 101, 110, 32, 118, 101, 110, 116, 97, 32, 101, 110, 32, 100, 101, 108, 32, 118, 97, 108, 108, 101, 110, 105, 99, 111, 108, 97, 115, 32, 115, 97, 110, 32, 106, 117, 97, 110, 32, 100, 101, 108, 32, 118, 97, 108, 108, 101, 32, 99, 101, 110, 116, 114, 111]",9500000,3,222,0,BENITO JUAREZ,False,MC,Departamentos,Venta
